ID;name;birthYear;nationality;bio
D001;Steven Spielberg;1946;American;Prolific director known for Jurassic Park and Schindler's List
D002;Christopher Nolan;1970;British-American;Known for non-linear narratives and practical effects
D003;Quentin Tarantino;1963;American;Stylised violence and sharp dialogue
D004;Stanley Kubrick;1928;American;Perfectionist behind 2001 and The Shining
D005;Martin Scorsese;1942;American;Master of crime dramas
D006;Francis Ford Coppola;1939;American;Director of The Godfather trilogy
D007;Peter Jackson;1961;New Zealander;Brought Middle-earth to the screen
D008;James Cameron;1954;Canadian;Blockbuster specialist behind Titanic and Avatar
D009;David Fincher;1962;American;Dark psychological thrillers
D010;Bong Joon-ho;1969;South Korean;Genre-bending social commentary
D011;Denis Villeneuve;1967;Canadian;Atmospheric science fiction
D012;Ridley Scott;1937;British;Alien, Blade Runner, Gladiator
D013;Robert Zemeckis;1951;American;Back to the Future and Forrest Gump
D014;Frank Darabont;1959;American;The Shawshank Redemption and The Green Mile
D015;Todd Phillips;1970;American;Director of Joker
D016;The Wachowskis;1965;American;Creators of The Matrix trilogy
D017;George Lucas;1944;American;Creator of Star Wars
